"אָכַל","/a╦łχal/","פועל","לקח מזור לפיו ועיכל אותו"
"שָׁתָה","/╩āa╦łta/","פועל","הוריד נוזלים דרך הפה"
"יָשַׁן","/ja╦ł╩ān/","פועל","היה במצב מנוחה עם עיניים סגורות"
"בַּיִת","/╦łbajit/","שם","מקום מגורים"
"סֵפֶר","/╦łsefer/","שם","אוסף דפים כרוכים עם טקסט"
"עִפָּרוֹן","/ipa╦ł╩Ēon/","שם","כלי לכתיבה"
"בֵּית סֵפֶר","/bet ╦łsefer/","שם","מוסד ללמידה"
"תַּלְמִיד","/tal╦łmid/","שם","אדם הלומד"
"מוֹרֶה","/mo╦łre/","שם","אדם המלמד"
"גָּדוֹל","/╔Īa╦łdol/","תואר","לא קטן"
"קָטָן","/ka╦łtan/","תואר","לא גדול"
"יָפֶה","/ja╦łfe/","תואר","מעורר הנאה אסתטית"
"מְכֹעָר","/me╩Ēo╦ł╩Ēa╩Ē/","תואר","לא יפה"
"מָהִיר","/ma╦łhi╩Ē/","תואר","מבצע פעולה בזמן קצר"
"אִיטִי","/i╦łti/","תואר","לא מהיר"
"קַל","/kal/","תואר","לא כבד או מסובך"
"כָּבֵד","/ka╦łved/","תואר","לא קל"
"חָדָשׁ","/╩Ęa╦łda╩ā/","תואר","לא ישן"
"יָשָׁן","/ja╦ł╩ān/","תואר","לא חדש"
"נָקִי","/na╦łki/","תואר","ללא לכלוך"
"מְלֻכְלָךְ","/melu╩Ē╦łla╩Ē/","תואר","לא נקי"
"חַם","/╩Ęam/","תואר","בעל טמפרטורה גבוהה"
"קַר","/kar/","תואר","בעל טמפרטורה נמוכה"
"גָּבוֹהַּ","/╔Īa╦łvo╩Ęa/","תואר","לא נמוך"
"נָמוּךְ","/na╦łmu╩Ē/","תואר","לא גבוה"
"עָשִׁיר","/a╦ł╩āi╩Ē/","תואר","בעל הרבה נכסים"
"עָנִי","/a╦łni/","תואר","לא עשיר"
